timestamp,staff_id,department,shift_block,shift,duty_status,availability,current_load,max_operational_load,incoming_demand_1h,icu_demand,emergency_demand,department_pressure,bed_occupancy,hour_of_day,is_weekend,target_load_1h,target_load_2h,duty_status_on,availability_free,specialty_match
2026-06-01 00:00:00+00:00,NUR-201,Emergency Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,2,4,0.9,64.884,44.914,65.57,79.929,0,0,2.482,2.124,1,1,1
2026-06-01 00:00:00+00:00,NUR-203,Cardiology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,88.939,79.929,0,0,4.258,4.326,1,1,0
2026-06-01 00:00:00+00:00,NUR-205,Surgery,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,5,4,0.9,64.884,44.914,94.951,79.929,0,0,4.891,5.608,1,1,0
2026-06-01 00:00:00+00:00,NUR-207,Paediatrics,NIGHT,08:00 PM – 08:00 AM,LEAVE,Unavailable,6,4,0.9,64.884,44.914,69.77,79.929,0,0,5.286,4.695,0,0,0
2026-06-01 00:00:00+00:00,NUR-209,General Ward,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,86.433,79.929,0,0,3.858,4.054,1,1,0
2026-06-01 00:00:00+00:00,NUR-211,Internal Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,84.222,79.929,0,0,3.948,3.606,1,1,0
2026-06-01 00:00:00+00:00,NUR-213,Critical Care,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,3,4,0.9,64.884,44.914,64.6,79.929,0,0,2.896,2.375,1,1,0
2026-06-01 00:00:00+00:00,NUR-215,Orthopaedics,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,5,4,0.9,64.884,44.914,92.572,79.929,0,0,5.027,5.237,1,1,0
2026-06-01 00:00:00+00:00,NUR-217,Neurology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,3,4,0.9,64.884,44.914,83.014,79.929,0,0,3.857,3.854,1,1,0
2026-06-01 00:00:00+00:00,NUR-219,Emergency Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,61.151,79.929,0,0,3.708,4.037,1,1,1
2026-06-01 00:00:00+00:00,NUR-221,Cardiology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,5,4,0.9,64.884,44.914,90.747,79.929,0,0,4.619,5.278,1,1,0
2026-06-01 00:00:00+00:00,NUR-223,Surgery,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,6,4,0.9,64.884,44.914,92.839,79.929,0,0,4.92,4.751,1,1,0
2026-06-01 00:00:00+00:00,NUR-225,Paediatrics,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,68.424,79.929,0,0,3.773,3.852,1,1,0
2026-06-01 00:00:00+00:00,NUR-252,Paediatrics,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,3,4,0.9,64.884,44.914,70.793,79.929,0,0,3.395,2.732,1,1,0
2026-06-01 00:00:00+00:00,NUR-254,General Ward,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,5,4,0.9,64.884,44.914,85.447,79.929,0,0,4.576,5.499,1,1,0
2026-06-01 00:00:00+00:00,NUR-256,Internal Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,87.325,79.929,0,0,3.777,3.674,1,1,0
2026-06-01 00:00:00+00:00,NUR-258,Critical Care,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,3,4,0.9,64.884,44.914,65.284,79.929,0,0,2.948,3.014,1,1,0
2026-06-01 00:00:00+00:00,NUR-260,Orthopaedics,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,5,4,0.9,64.884,44.914,88.067,79.929,0,0,4.614,4.368,1,1,0
2026-06-01 00:00:00+00:00,NUR-262,Neurology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,79.941,79.929,0,0,4.207,3.95,1,1,0
2026-06-01 00:00:00+00:00,NUR-264,Emergency Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,2,4,0.9,64.884,44.914,60.737,79.929,0,0,2.395,2.672,1,1,1
2026-06-01 00:00:00+00:00,NUR-266,Cardiology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,5,4,0.9,64.884,44.914,84.314,79.929,0,0,4.233,4.509,1,1,0
2026-06-01 00:00:00+00:00,NUR-268,Surgery,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,5,4,0.9,64.884,44.914,93.985,79.929,0,0,5.063,5.213,1,1,0
2026-06-01 00:00:00+00:00,NUR-270,Paediatrics,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,3,4,0.9,64.884,44.914,68.939,79.929,0,0,3.531,3.27,1,1,0
2026-06-01 00:00:00+00:00,NUR-272,General Ward,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,4,4,0.9,64.884,44.914,87.866,79.929,0,0,3.851,4.069,1,1,0
2026-06-01 01:00:00+00:00,NUR-201,Emergency Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,1,4,2.7,68.433,27.373,52.081,80.74,1,0,1.917,2.188,1,1,1
