timestamp,category,units_total,units_in_use,units_reserved,units_available,utilisation,icu_demand,emergency_demand,current_queue,department_load,hour_of_day,is_weekend,target_units_needed_1h,target_units_needed_2h
2026-06-01 00:00:00+00:00,ventilators,15,6.26,1.13,8.74,41.733,64.884,44.914,3.16,100.0,0,False,6.358,6.088
2026-06-01 00:00:00+00:00,monitors,12,4.83,1.05,7.17,40.25,64.884,44.914,3.16,100.0,0,False,5.394,5.144
2026-06-01 00:00:00+00:00,infusion_pumps,40,40.0,0.0,0.0,100.0,64.884,44.914,3.16,100.0,0,False,26.037,25.699
2026-06-01 00:00:00+00:00,defibrillators,8,4.178,0.566,3.822,52.224,64.884,44.914,3.16,100.0,0,False,5.43,6.019
2026-06-01 00:00:00+00:00,ultrasound,6,3.858,0.372,2.142,64.306,64.884,44.914,3.16,100.0,0,False,4.878,4.18
2026-06-01 00:30:00+00:00,ventilators,15,6.83,1.143,8.17,45.533,68.23,27.292,0.0,100.0,0,False,6.082,6.949
2026-06-01 00:30:00+00:00,monitors,12,4.44,0.813,7.56,37.0,68.23,27.292,0.0,100.0,0,False,5.638,5.008
2026-06-01 00:30:00+00:00,infusion_pumps,40,40.0,0.0,0.0,100.0,68.23,27.292,0.0,100.0,0,False,26.728,27.556
2026-06-01 00:30:00+00:00,defibrillators,8,2.632,0.262,5.368,32.906,68.23,27.292,0.0,100.0,0,False,5.191,5.043
2026-06-01 00:30:00+00:00,ultrasound,6,4.163,0.436,1.837,69.382,68.23,27.292,0.0,100.0,0,False,5.309,5.482
2026-06-01 01:00:00+00:00,ventilators,15,6.66,1.136,8.34,44.4,68.433,27.373,0.0,100.0,1,False,6.757,7.305
2026-06-01 01:00:00+00:00,monitors,12,4.19,0.364,7.81,34.917,68.433,27.373,0.0,100.0,1,False,5.71,5.286
2026-06-01 01:00:00+00:00,infusion_pumps,40,40.0,0.0,0.0,100.0,68.433,27.373,0.0,100.0,1,False,27.198,27.021
2026-06-01 01:00:00+00:00,defibrillators,8,2.182,0.169,5.818,27.28,68.433,27.373,0.0,100.0,1,False,4.232,5.225
2026-06-01 01:00:00+00:00,ultrasound,6,4.215,0.371,1.785,70.246,68.433,27.373,0.0,100.0,1,False,4.929,4.834
2026-06-01 01:30:00+00:00,ventilators,15,6.73,0.637,8.27,44.867,67.079,26.832,0.0,100.0,1,False,6.42,5.704
2026-06-01 01:30:00+00:00,monitors,12,4.01,0.355,7.99,33.417,67.079,26.832,0.0,100.0,1,False,5.415,6.084
2026-06-01 01:30:00+00:00,infusion_pumps,40,40.0,0.0,0.0,100.0,67.079,26.832,0.0,100.0,1,False,25.329,25.546
2026-06-01 01:30:00+00:00,defibrillators,8,2.287,0.771,5.713,28.588,67.079,26.832,0.0,100.0,1,False,3.969,3.925
