timestamp,staff_id,department,shift_block,shift,duty_status,availability,specialty_match,current_load,max_operational_load,scheduled_procedures,department_pressure,expected_arrivals_1h,current_queue,icu_occupancy,bed_occupancy,hour_of_day,is_weekend,target_load_1h,target_load_2h
2026-06-01 00:00:00+00:00,DOC-1001,Emergency Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,1.0,5,6,3,61.629,2.0,3.16,64.884,79.929,0,False,5.522,5.263
2026-06-01 00:00:00+00:00,DOC-1002,Internal Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Unavailable,0.0,5,6,3,89.256,2.0,3.16,64.884,79.929,0,False,5.401,5.906
2026-06-01 00:00:00+00:00,DOC-1007,Paediatrics,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,5,6,2,67.564,2.0,3.16,64.884,79.929,0,False,5.569,4.968
2026-06-01 00:00:00+00:00,DOC-1012,Cardiology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,5,6,4,86.101,2.0,3.16,64.884,79.929,0,False,5.894,6.074
2026-06-01 00:00:00+00:00,DOC-1017,Neurology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,6,6,3,82.787,2.0,3.16,64.884,79.929,0,False,5.582,5.042
2026-06-01 00:00:00+00:00,DOC-1023,Surgery,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,6,6,4,90.548,2.0,3.16,64.884,79.929,0,False,6.608,6.549
2026-06-01 00:00:00+00:00,DOC-1028,Emergency Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,1.0,6,6,3,62.115,2.0,3.16,64.884,79.929,0,False,5.408,5.637
2026-06-01 01:00:00+00:00,DOC-1001,Emergency Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,1.0,4,6,4,49.282,6.0,0.0,68.433,80.74,1,False,5.053,4.995
2026-06-01 01:00:00+00:00,DOC-1002,Internal Medicine,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Unavailable,0.0,6,6,4,90.543,6.0,0.0,68.433,80.74,1,False,6.873,6.561
2026-06-01 01:00:00+00:00,DOC-1007,Paediatrics,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,3,6,4,68.335,6.0,0.0,68.433,80.74,1,False,4.939,5.36
2026-06-01 01:00:00+00:00,DOC-1012,Cardiology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,8,6,4,91.358,6.0,0.0,68.433,80.74,1,False,8.706,8.116
2026-06-01 01:00:00+00:00,DOC-1017,Neurology,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,5,6,3,78.324,6.0,0.0,68.433,80.74,1,False,6.242,6.676
2026-06-01 01:00:00+00:00,DOC-1023,Surgery,NIGHT,08:00 PM – 08:00 AM,ON_DUTY,Available,0.0,7,6,4,93.209,6.0,0.0,68.433,80.74,1,False,7.309,6.461
